uspc_class,,examiner_art_unit,uspc_class,allowance
112,1,2407,112,0.45107283933147463
112,2,1504,112,0.4469000364936684
113,0,3201,113,0.8610590165613512
113,1,3202,113,0.8599464822790978
114,0,2856,114,0.5797534745963286
114,1,3645,114,0.5697196808777272
114,2,2307,114,0.5299557846666355
115,0,3105,115,0.7280034026468131
116,0,2847,116,0.65243536520311
116,1,2852,116,0.6201200879530052
116,2,1672,116,0.5449893265748987
117,0,2898,117,0.6085417747407598
117,1,1717,117,0.5685300648730729
117,2,1766,117,0.5647093597563944
118,0,2852,118,0.6231637995290751
118,1,OPC,118,0.594368337372368
118,2,2856,118,0.5442797732592027
119,0,2669,119,0.49120104112403434
119,1,2854,119,0.4711579709935932
119,2,3645,119,0.463345309137006
122,0,4124,122,0.6504586603591428
122,1,3748,122,0.5838771861191491
122,2,3641,122,0.5730786025817984
123,0,2842,123,0.7000662235400994
123,1,3765,123,0.6242821034213406
123,2,4159,123,0.62398820184661
124,0,3641,124,0.5417566501201818
124,1,2899,124,0.5390406700742367
124,2,3616,124,0.5374648958976076
125,0,3678,125,0.5135072357781472
125,1,2424,125,0.4944299263872653
125,2,3305,125,0.46852819665714635
126,0,2898,126,0.5391808316269212
126,1,2855,126,0.5219479294269469
126,2,3748,126,0.5148078841343293
127,0,1671,127,0.6474848914993583
127,1,1302,127,0.5666260917133483
127,2,1673,127,0.5481952598695014
128,0,3765,128,0.6260326943502909
128,1,2854,128,0.6225118054657057
128,2,2687,128,0.6131053562840172
130,0,3303,130,0.6867806412150128
131,0,1663,131,0.677677303589483
131,1,2831,131,0.5794066073146618
131,2,3616,131,0.570624305522765
132,0,2899,132,0.3689219956963542
132,1,3616,132,0.36744710735757813
132,2,3631,132,0.36682934562714475
133,0,3101,133,0.8106337823740752
134,0,OPC,134,0.6319247273880393
134,1,2882,134,0.5991923091247779
134,2,2856,134,0.5832218140411932
135,0,2656,135,0.5665717433819806
135,1,2919,135,0.5055106253992915
135,2,2899,135,0.4744975444905455
136,0,2847,136,0.5935402850033881
136,1,4141,136,0.5127128122271211
136,2,2848,136,0.512508877466635
137,0,LO125,137,0.7319408411639424
137,1,2856,137,0.6884034466751227
137,2,2689,137,0.6690847212172064
138,0,2882,138,0.6523372140601019
138,1,3765,138,0.6384364096308149
138,2,2855,138,0.5996901781905285
139,0,2848,139,0.5126069221360833
139,1,3765,139,0.4798203935210786
139,2,2899,139,0.4184854226082852
140,0,2105,140,0.5980751092257526
140,1,2407,140,0.5854335666086364
140,2,3678,140,0.5801477792914971
141,0,2200,141,0.7619061396843502
141,1,2852,141,0.7319209162191399
141,2,3667,141,0.7031515718755753
142,0,3711,142,0.31454180160847267
142,1,3204,142,0.2752167110759294
142,2,2201,142,0.2713078520175553
144,0,3638,144,0.7267436150780794
144,1,OPIM,144,0.6879595124970022
144,2,3765,144,0.5664535343652796
145,0,3204,145,0.7709598409736647
145,1,3203,145,0.726700149642173
147,0,2407,147,0.4511303711915155
147,1,3725,147,0.3296681161356075
147,2,3751,147,0.2698872534172673
148,0,2847,148,0.7436954078923986
148,1,2899,148,0.5883765905703896
148,2,3631,148,0.5861954082174723
149,0,2200,149,0.6504086790927537
149,1,3641,149,0.4761930767705775
149,2,2899,149,0.4734661776935236
150,0,2899,150,0.4051282030703556
150,1,1504,150,0.3930604879788965
150,2,2401,150,0.34558479310755863
151,0,3505,151,0.8332680120799517
151,1,3501,151,0.8049342509032383
152,0,2852,152,0.7111567586998527
152,1,2647,152,0.6451304555495677
152,2,2899,152,0.5824175315061372
156,0,1401,156,0.9589894983311298
156,1,2847,156,0.7253698057225033
156,2,2848,156,0.6553594430108093
157,0,3728,157,0.5851162853180046
157,1,3204,157,0.5533440303137531
157,2,3727,157,0.5329408278487892
159,0,3659,159,0.6620159207477679
159,1,1779,159,0.5578827761651964
159,2,1776,159,0.5570486272218825
160,0,3638,160,0.7411991917695266
160,1,2852,160,0.6596006437375104
160,2,3765,160,0.5845411321947652
161,0,1604,161,0.4912806098637257
162,0,1401,162,0.9500820655298954
162,1,3638,162,0.734263827716559
162,2,3765,162,0.5758102342116095
163,0,3726,163,0.7088302464187043
163,1,3725,163,0.6762886206418672
163,2,3206,163,0.5735273250739913
164,0,2200,164,0.713554646008147
164,1,2856,164,0.6055223066713235
164,2,2649,164,0.5542303750484792
165,0,2915,165,0.6862612367982702
