usindex,examiner_art_unit,uspc_class,rejection,allowance
10251103,3754,222,0.5709000355720653,0.42909996442793474
3129400,3737,600,0.5472158182774025,0.45278418172259743
3191675,1725,164,0.6333059971494903,0.3666940028505096
5849439,3649,705,0.6371440494036923,0.3628559505963077
4419109,2628,345,0.5094275298566532,0.4905724701433468
7951960,3677,016,0.6312174824429219,0.36878251755707814
7492869,3903,001,0.9998829153353269,0.00011708466467309179
1248624,3302,128,0.7188589821724481,0.28114101782755185
7864142,2451,709,0.4208890381127398,0.5791109618872602
693004,3206,029,0.647212076282786,0.352787923717214
1873989,1752,430,0.7078037277582514,0.29219627224174866
2344648,2813,438,0.4427258270591933,0.5572741729408067
3576713,1626,548,0.606821592493296,0.39317840750670396
2428118,3672,166,0.5603649116631615,0.4396350883368385
4368948,1792,156,0.6799045215820454,0.32009547841795455
10126277,2895,438,0.37799121061834173,0.6220087893816583
4826435,2872,359,0.5251790915557636,0.4748209084442364
3812234,1772,428,0.6212427069440488,0.3787572930559512
3924044,2646,455,0.350473961980993,0.649526038019007
2480576,2763,395,0.4854508330165874,0.5145491669834126
5544670,2627,360,0.6902762130095977,0.30972378699040226
1926951,3311,606,0.6122773149573109,0.3877226850426891
9868785,2863,702,0.4834467728031535,0.5165532271968465
3429657,2611,375,0.5783931863725476,0.42160681362745245
4049977,1624,514,0.6274431002994121,0.372556899700588
8348691,2911,D26,0.013782451694632991,0.986217548305367
2361855,1763,156,0.5068445711179153,0.49315542888208475
820465,1201,071,0.6308691702394569,0.36913082976054307
14548312,5333,000,0.9996891470639383,0.00031085293606165784
81453,2305,360,0.44864972128621416,0.5513502787137858
8278497,3765,002,0.6444820934404472,0.35551790655955284
6725039,1771,044,0.6759317263987907,0.3240682736012093
10416645,1615,424,0.7151980914202243,0.2848019085797758
7097746,3673,005,0.6243828806087093,0.37561711939129067
16480324,2827,365,0.3912984562865841,0.6087015437134159
4395523,2913,D10,0.020636451256032196,0.9793635487439678
7246862,2694,345,0.48018366355865005,0.51981633644135
9964792,2921,D29,0.029960028034466624,0.9700399719655334
9369459,2855,374,0.43242968828356954,0.5675703117164305
1288764,1815,435,0.7180591966844003,0.28194080331559973
5978146,1621,562,0.5736435431434739,0.42635645685652607
7968348,3637,062,0.6603936788283029,0.33960632117169703
8242403,3748,060,0.38255369232915404,0.617446307670846
